final_coverage,steps_taken,rovers_alive,n_rovers,energy_used,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.6981333333333334,250,4,4,396.425800000001,0.0017610693686771436,pheromone,5,48,250,6,0.0
0.83399209486166,250,4,4,396.01180000000136,0.002105977889703431,pheromone,6,48,250,6,0.0
0.7743837084673098,250,4,4,396.18340000000126,0.0019546091746077882,pheromone,7,48,250,6,0.0
0.2888311688311688,250,3,4,477.3286000000012,0.0006050992310772246,pheromone,0,48,250,6,0.25
0.6240084611316764,250,3,4,470.9794000000006,0.0013249166760407687,pheromone,1,48,250,6,0.25
0.860529217199559,250,3,4,447.68400000000145,0.0019221799689056482,pheromone,2,48,250,6,0.25
0.26006036217303824,250,3,4,480.393800000001,0.000541348290034213,pheromone,3,48,250,6,0.25
0.7076837416481069,250,3,4,449.02720000000136,0.0015760375800132034,pheromone,4,48,250,6,0.25
0.6981333333333334,250,3,4,451.16900000000106,0.0015473876381873128,pheromone,5,48,250,6,0.25
0.6442687747035574,250,3,4,447.92660000000143,0.0014383355994119467,pheromone,6,48,250,6,0.25
0.7743837084673098,250,3,4,448.75500000000136,0.0017256269199614654,pheromone,7,48,250,6,0.25
0.6909090909090909,250,4,4,394.6742000000012,0.0017505808358111294,pheromone,0,48,250,16,0.0
0.8281332628239026,250,4,4,394.5734000000007,0.0020988066170296864,pheromone,1,48,250,16,0.0
0.8880926130099228,250,4,4,394.69820000000135,0.0022500548849980055,pheromone,2,48,250,16,0.0
0.4381287726358149,250,4,4,396.3014000000009,0.001105544347397748,pheromone,3,48,250,16,0.0
0.7288418708240535,250,4,4,395.6212000000013,0.0018422720289611655,pheromone,4,48,250,16,0.0
0.6688,250,4,4,394.37840000000097,0.0016958332403600154,pheromone,5,48,250,16,0.0
0.9604743083003953,250,4,4,395.45560000000125,0.002428779130452046,pheromone,6,48,250,16,0.0
0.7743837084673098,250,4,4,395.1124000000013,0.001959907379437616,pheromone,7,48,250,16,0.0
0.6909090909090909,250,3,4,477.15120000000115,0.001447987746670425,pheromone,0,48,250,16,0.25
0.8281332628239026,250,3,4,471.3936000000007,0.0017567766359659984,pheromone,1,48,250,16,0.25
0.8880926130099228,250,3,4,446.6130000000014,0.0019885059615593814,pheromone,2,48,250,16,0.25
0.3656941649899396,250,3,4,450.044600000001,0.0008125731649484047,pheromone,3,48,250,16,0.25
0.7260579064587973,250,3,4,450.1928000000014,0.0016127710315642432,pheromone,4,48,250,16,0.25
0.6688,250,3,4,450.08020000000107,0.001485957391593761,pheromone,5,48,250,16,0.25
0.7628458498023716,250,3,4,448.19880000000137,0.0017020256408593001,pheromone,6,48,250,16,0.25
0.7743837084673098,250,3,4,447.5124000000014,0.00173041843861155,pheromone,7,48,250,16,0.25
0.6909090909090909,250,4,4,394.6742000000012,0.0017505808358111294,pheromone,0,48,250,40,0.0
0.8281332628239026,250,4,4,394.5734000000007,0.0020988066170296864,pheromone,1,48,250,40,0.0
0.8947078280044102,250,4,4,396.1420000000013,0.0022585533167510823,pheromone,2,48,250,40,0.0
0.4381287726358149,250,4,4,396.3014000000009,0.001105544347397748,pheromone,3,48,250,40,0.0
