seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve_fraction,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,solar_rate,resume_charge_fraction,prior_body,max_slope_deg,condition,split
300038,success,True,7.284115324245114,10.259971813948047,4,5,572.5860052391848,505.52672911769406,112.94072387850566,54.4925127282563,318,304.69343417595206,21,0,0.1908781376106976,193,151093,0.15349877204152684,8,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300039,success,True,4.565138990198129,7.948862244641392,3,5,411.21010984324505,343.0771325174058,111.86702267415907,77.85584054606102,218,203.72287142747481,21,0,0.2077866705123102,191,175473,0.019406083589784573,6,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300040,success,True,8.693747195953447,10.112682608376382,4,5,859.654500806869,792.6281731191436,112.97367231226993,61.78528312554062,484,413.9310242291888,68,1,0.20045056196514008,251,171049,0.0758020406549832,3,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300041,success,True,12.797797819914807,12.797797819914807,5,5,388.17411948171997,265.66996897672925,57.49584949500815,53.15379121819255,169,190.85281374238588,0,0,0.19597184054496722,101,67453,0.041505723188227206,2,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300042,success,True,8.336354199801947,10.778580437652371,4,5,360.20548996577213,293.6909526177111,113.48546265193656,62.490387178414586,184,146.26702730475876,31,0,0.2357812902095842,132,95447,0.024138588319298604,0,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300043,success,True,11.295388394900653,11.295388394900653,5,5,283.0850934498069,259.0498947884041,155.9648013385959,153.82392786442188,162,189.23759005323612,0,0,0.13754941674497276,113,86416,0.030889858755752453,2,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300044,success,True,8.943243893003505,8.943243893003505,5,5,258.1976536321557,227.8161658808886,149.61851224873192,149.609683288438,154,171.539105243401,0,0,0.13719798842386874,104,74112,0.03641829087639592,3,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300045,success,True,7.468878907665096,9.827271613623092,4,5,427.0569807599491,356.8375132840359,109.78053252408523,76.98083372611767,220,237.13708498984778,5,0,0.16350391633307593,191,134913,0.06582518502024004,6,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300046,success,True,9.650046929695272,12.427029544461885,4,5,1260.29571583167,1192.7651451301617,112.46942929847515,55.945778821484524,746,691.4284989122476,63,0,0.16545164682759167,490,401428,0.03077340270685014,13,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
300047,success,True,6.459681650885037,9.367181557147507,3,5,422.29521570012236,353.5116700045082,111.21645430438261,57.450473492302734,220,189.82337649086298,28,0,0.21816214413061133,183,146076,0.05540725322018636,5,0.0,moon,adaptive_risk_aware_astar,64,5,800,0.2,0.25,6,1.0,1.0,,0.0,0,10,2.0,0.6,moon,25.0,moon_id,test
