corrected,seed,cls,n,mean,sd,truth,covered,abs_error
False,200022,2,12,0.6013018424469122,0.00574959574576069,0.62,False,0.01869815755308779
False,200022,3,4,0.41251108101625195,0.009877295966495897,0.06,False,0.35251108101625195
False,200022,4,2,0.5085872285863805,0.013801311186847085,0.26,False,0.2485872285863805
False,200023,0,220,0.12339839983704176,0.0013480933748771082,0.12,False,0.0033983998370417656
False,200023,1,2,0.09249643051288255,0.013801311186847085,0.14,False,0.04750356948711747
False,200023,2,12,0.47766476619621984,0.00574959574576069,0.62,False,0.14233523380378016
False,200023,3,4,0.07253930229254962,0.009877295966495897,0.06,True,0.012539302292549626
False,200023,4,7,0.22126119598443647,0.007505866250408015,0.26,False,0.03873880401556354
False,200024,0,243,0.11839001164560622,0.001282736687757582,0.12,True,0.001609988354393771
False,200024,1,4,0.12004923815797804,0.009877295966495897,0.14,False,0.019950761842021977
False,200024,2,17,0.39096466313921535,0.0048365083340667445,0.62,False,0.22903533686078464
False,200024,3,9,0.15058066825320726,0.006629935441317959,0.06,False,0.09058066825320726
False,200024,4,4,0.12576869405017962,0.009877295966495897,0.26,False,0.13423130594982038
False,200025,0,18,0.10954293359694228,0.004701004947222685,0.12,False,0.010457066403057713
False,200025,1,12,0.13098657449594361,0.00574959574576069,0.14,True,0.0090134255040564
False,200025,2,15,0.5697457785559075,0.005146850126549788,0.62,False,0.05025422144409253
False,200025,3,1,0.5492631385614215,0.019069251784911846,0.06,False,0.4892631385614215
False,200026,0,3,0.11797427269510022,0.011359236684941296,0.12,True,0.002025727304899777
False,200026,1,20,0.15729437320284723,0.004460997367454705,0.14,False,0.017294373202847213
False,200026,2,3,0.7064302885454246,0.011359236684941296,0.62,False,0.08643028854542456
False,200026,3,2,0.07143643743308897,0.013801311186847085,0.06,True,0.011436437433088975
False,200026,4,1,0.16801469061635327,0.019069251784911846,0.26,False,0.09198530938364674
False,200027,0,26,0.10910562150419893,0.0039148014634313565,0.12,False,0.010894378495801063
False,200027,1,1,0.5491040119387776,0.019069251784911846,0.14,False,0.40910401193877755
False,200027,2,2,0.7590508481035864,0.013801311186847085,0.62,False,0.13905084810358637
False,200027,3,4,0.05690179224705043,0.009877295966495897,0.06,True,0.0030982077529495694
False,200028,0,32,0.12161413406341866,0.0035300225480910394,0.12,True,0.0016141340634186624
False,200028,1,2,0.3096777237880369,0.013801311186847085,0.14,False,0.16967772378803686
False,200028,2,30,0.638131832080121,0.003645413082882446,0.62,False,0.018131832080121035
False,200028,3,7,0.1917606823199228,0.007505866250408015,0.06,False,0.1317606823199228
False,200029,0,10,0.13017564723539088,0.006293167755275526,0.12,True,0.010175647235390883
False,200029,1,2,0.0984826038980421,0.013801311186847085,0.14,False,0.04151739610195791
False,200029,2,7,0.5162259987377604,0.007505866250408015,0.62,False,0.10377400126223957
False,200029,4,1,0.7428146056677412,0.019069251784911846,0.26,False,0.48281460566774115
False,200030,0,22,0.1469008836585645,0.0042543562981151705,0.12,False,0.026900883658564495
False,200030,1,4,0.18903244194671878,0.009877295966495897,0.14,False,0.04903244194671877
False,200030,2,38,0.6123515359832409,0.0032401678450416724,0.62,False,0.007648464016759116
False,200030,3,2,0.23553564634289736,0.013801311186847085,0.06,False,0.17553564634289737
False,200030,4,2,0.416618017965728,0.013801311186847085,0.26,False,0.156618017965728
False,200031,0,5,0.08254084440608794,0.008856148855400953,0.12,False,0.03745915559391205
False,200031,1,1,0.15756408303555378,0.019069251784911846,0.14,True,0.017564083035553762
False,200031,2,5,0.45046733101887343,0.008856148855400953,0.62,False,0.16953266898112657
False,200031,4,1,0.9053101315776924,0.019069251784911846,0.26,False,0.6453101315776923
False,200032,0,185,0.12998435428397184,0.00147003199191934,0.12,False,0.009984354283971847
False,200032,1,10,0.14774559862408404,0.006293167755275526,0.14,True,0.007745598624084027
False,200032,2,16,0.48380975437706886,0.0049844478627922685,0.62,False,0.13619024562293114
False,200032,3,6,0.10957041704574912,0.00809776330178916,0.06,False,0.04957041704574912
False,200032,4,3,0.1290678342065002,0.011359236684941296,0.26,False,0.1309321657934998
False,200033,0,1,0.13615339853955646,0.019069251784911846,0.12,True,0.01615339853955647
False,200033,1,55,0.14085204514396035,0.0026943511520719616,0.14,True,0.0008520451439603394
False,200033,2,8,0.4611681051543101,0.007027283689263065,0.62,False,0.15883189484568988
False,200033,3,2,0.19802737231867806,0.013801311186847085,0.06,False,0.13802737231867807
False,200033,4,3,0.13241495248921634,0.011359236684941296,0.26,False,0.12758504751078367
False,200034,0,26,0.13517153756464606,0.0039148014634313565,0.12,False,0.015171537564646065
False,200034,1,148,0.1465262458791922,0.0016434347523647586,0.14,False,0.006526245879192177
False,200034,2,16,0.4801904175730947,0.0049844478627922685,0.62,False,0.13980958242690528
False,200034,3,3,0.2542178893993419,0.011359236684941296,0.06,False,0.19421788939934193
False,200034,4,7,0.19802094558544647,0.007505866250408015,0.26,False,0.061979054414553536
False,200035,0,20,0.17036356558329507,0.004460997367454705,0.12,False,0.05036356558329508
False,200035,1,2,0.23168303291061035,0.013801311186847085,0.14,False,0.09168303291061033
False,200035,2,75,0.6360353493880093,0.0023078630139327077,0.62,False,0.016035349388009323
False,200035,3,1,0.041755791716114286,0.019069251784911846,0.06,True,0.01824420828388571
False,200035,4,2,0.6245834967330336,0.013801311186847085,0.26,False,0.3645834967330336
False,200036,0,22,0.11630859535370759,0.0042543562981151705,0.12,True,0.003691404646292404
False,200036,2,3,0.5537767885805379,0.011359236684941296,0.62,False,0.06622321141946208
False,200037,0,21,0.10783194493256129,0.0043540034418410815,0.12,False,0.012168055067438704
False,200037,2,5,0.5187076070671774,0.008856148855400953,0.62,False,0.10129239293282255
False,200037,3,4,0.2651969401816928,0.009877295966495897,0.06,False,0.20519694018169282
False,200038,0,8,0.17553835005255417,0.007027283689263065,0.12,False,0.05553835005255417
False,200038,1,23,0.14376348480369833,0.004161251892882395,0.14,True,0.0037634848036983137
False,200038,2,55,0.6011107343474058,0.0026943511520719616,0.62,False,0.01888926565259419
False,200038,3,4,0.5109490288775709,0.009877295966495897,0.06,False,0.4509490288775709
False,200038,4,2,0.17752937096523158,0.013801311186847085,0.26,False,0.08247062903476843
False,200039,0,9,0.10413844397167776,0.006629935441317959,0.12,False,0.015861556028322232
False,200039,1,100,0.13889109121593132,0.0019990007493755463,0.14,True,0.0011089087840686906
False,200039,2,11,0.4399925982711834,0.006003002251876642,0.62,False,0.18000740172881657
False,200039,3,4,0.11791141095108418,0.009877295966495897,0.06,False,0.05791141095108418
False,200039,4,5,0.10591328279512822,0.008856148855400953,0.26,False,0.15408671720487177
True,200000,0,32,0.19165636052142956,0.007647961316192893,0.12,False,0.07165636052142957
True,200000,1,4,0.6021220847205947,0.03166311656095483,0.14,False,0.4621220847205947
True,200000,2,91,0.590534899079918,0.014425143747012717,0.62,False,0.029465100920082032
True,200000,3,6,0.3279654192606767,0.01111613204393029,0.06,False,0.2679654192606767
True,200001,0,39,0.13940784382260102,0.006936797941218855,0.12,False,0.019407843822601023
True,200001,1,1,0.15016176897989394,0.04784396625654424,0.14,True,0.010161768979893931
True,200001,2,8,0.3952013975605799,0.03920802749062252,0.62,False,0.22479860243942007
True,200001,4,2,0.21573075467532657,0.050286612029378855,0.26,True,0.04426924532467344
True,200002,0,4,0.1363508227362798,0.02060293029002796,0.12,True,0.016350822736279802
True,200002,1,102,0.13622563806754703,0.007196281211684837,0.14,True,0.00377436193245298
True,200002,2,5,0.3848510851888218,0.044707277277780184,0.62,False,0.23514891481117822
True,200002,3,4,0.2713520374932617,0.01351048374894283,0.06,False,0.2113520374932617
True,200002,4,9,0.17750222545192396,0.03324957557202713,0.26,False,0.08249777454807605
True,200003,2,3,0.5296906289197727,0.04998819026136159,0.62,True,0.0903093710802273
True,200003,3,1,0.6382573135028651,0.02534193572443327,0.06,False,0.578257313502865
True,200004,0,12,0.13742472363557337,0.012339607067981777,0.12,True,0.017424723635573375
True,200004,1,12,0.2097408830141482,0.020030627603103552,0.14,False,0.06974088301414819
True,200004,2,8,0.4589219147183002,0.03920802749062252,0.62,False,0.1610780852816998
True,200004,3,1,0.42852829892678485,0.02534193572443327,0.06,False,0.36852829892678485
True,200005,0,2,0.3990226804420611,0.027704022566541225,0.12,False,0.2790226804420611
True,200005,1,48,0.14893598629276242,0.010414721655333267,0.14,True,0.008935986292762405
True,200005,2,2,0.4023146461235301,0.05344262841549522,0.62,False,0.21768535387646992
