seed,termination,success,science_return,science_possible,targets_visited,targets_total,energy_spent,energy_generated,final_charge,min_charge,steps,distance_travelled,interventions,severe_slip_events,mean_slip,planner_replans,nodes_expanded,predicted_failure_prob,hazard_refusals,final_distance_from_home,body,planner,size,n_targets,max_steps,risk_budget,energy_reserve,sensing_radius,sensor_noise_scale,terrain_uncertainty,battery_capacity,fault_rate,comm_delay,replan_interval,prior_body,max_slope_deg,condition,split
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,420.62810600545504,7.867798230705085,0.5730255585832735,0.5930255585832735,32,29.89949493661167,0,3,0.36073282176978694,33,9423,0.025355986553031062,1,7.0710678118654755,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.0,,1.0,0,10,moon,25.0,mars_faults,ood
400000,timeout,False,4.436803659238429,6.284689184666288,2,3,239.8447312199751,43.43500134428548,216.92360345764294,190.17069468566947,180,28.72792206135786,78,1,0.275469965452889,98,3342,0.024261164834496474,0,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,420.26813436485384,8.51502162055552,1.580220589035328,1.600220589035328,30,33.38477631085024,0,1,0.3330922859501955,21,5600,0.029315400364263278,0,5.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,403.7652617376416,7.230379839595315,16.798451435287017,16.818451435287017,26,25.485281374238575,0,2,0.4130934890657862,23,7809,0.036829940557501994,0,1.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400003,timeout,False,1.137787667753198,5.008044798502872,1,3,422.82862909249604,53.200582324507344,43.7052865653407,10.323151643794537,180,48.87005768508879,69,1,0.23316953428266898,105,10647,0.01830224105412004,1,0.0,mars,adaptive_risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400000,timeout,False,2.670109748863812,6.284689184666288,1,3,360.3990069282304,42.27768779564219,95.2120142007426,66.15398975320699,180,10.828427124746192,84,3,0.29135757145184327,110,548,0.030009762412669616,0,0.0,mars,astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,405.2352882637377,3.7086358199028586,11.80668088949871,11.826680889498709,14,13.071067811865476,0,2,0.4611614461541096,16,410,0.02600479752709306,0,5.0990195135927845,mars,astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,382.94281317124523,6.342475482077596,36.73299564416574,36.75299564416574,24,22.656854249492383,0,2,0.4406305186955591,23,1004,0.08262663909574841,0,1.0,mars,astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,372.2210515526089,6.7640868705864925,47.87636865131084,47.896368651310844,28,26.899494936611667,0,2,0.3150534896091538,26,1008,0.021950649140249467,1,10.04987562112089,mars,astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400000,timeout,False,4.436803659238429,6.284689184666288,2,3,392.99120594791907,43.93783587794798,64.27996326335816,38.35825282813387,180,33.55634918610404,75,2,0.2950061027345456,97,3000,0.02299834050064431,0,0.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400001,energy_exhausted,False,1.8472381300983158,6.878417360830329,1,3,355.07490185697515,7.528739601753279,65.78717107811185,65.80717107811185,27,28.72792206135786,0,1,0.30974375479275207,20,5671,0.028089127046970974,0,6.324555320336759,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400002,energy_exhausted,False,1.9161997305194356,5.024578748331417,1,3,398.4917210909907,7.502085723803454,22.343697966146205,22.363697966146205,29,29.556349186104054,0,2,0.3909945347680392,26,8742,0.06129913170804102,1,2.0,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
400003,energy_exhausted,False,0.0,5.008044798502872,0,3,347.22442630191966,6.823658717671428,72.93256574908517,72.95256574908517,28,26.07106781186548,0,2,0.3210255979571332,31,9209,0.028599566543368482,1,10.04987562112089,mars,risk_aware_astar,32,3,180,0.2,12.0,6,1.0,1.5,,0.0,0,10,moon,25.0,mars_high_uncertainty,ood
