final_coverage,steps_taken,rovers_alive,n_rovers,energy_spent,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.75909592061742,250,2,4,751.142135623731,0.0010105889213458707,pheromone,2,48,250,12,0.5
0.3656941649899396,250,2,4,789.3818177180209,0.00046326651663589633,pheromone,3,48,250,12,0.5
0.6909090909090909,250,4,4,994.6782822743035,0.0006946055857672362,pheromone,0,48,250,24,0.0
0.8281332628239026,250,4,4,994.5798692519688,0.0008326463147165326,pheromone,1,48,250,24,0.0
0.8947078280044102,250,4,4,996.142135623731,0.0008981728570734457,pheromone,2,48,250,24,0.0
0.4381287726358149,250,4,4,996.3056992722728,0.00043975335377067034,pheromone,3,48,250,24,0.0
0.6909090909090909,250,3,4,902.7544007200515,0.0007653345033355812,pheromone,0,48,250,24,0.25
0.8281332628239026,250,3,4,896.9991334482245,0.0009232263799859102,pheromone,1,48,250,24,0.25
0.8947078280044102,250,3,4,874.142135623731,0.0010235267144124162,pheromone,2,48,250,24,0.25
0.3656941649899396,250,3,4,875.6488450227804,0.0004176265029852531,pheromone,3,48,250,24,0.25
0.4737662337662338,250,2,4,781.1269837220818,0.0006065162817813956,pheromone,0,48,250,24,0.5
0.5118984664198837,250,2,4,798.9696961967018,0.000640698225297718,pheromone,1,48,250,24,0.5
0.8599779492833517,250,2,4,751.3137084989847,0.001144632314777621,pheromone,2,48,250,24,0.5
0.3656941649899396,250,2,4,789.3818177180209,0.00046326651663589633,pheromone,3,48,250,24,0.5
0.6909090909090909,250,4,4,994.6782822743035,0.0006946055857672362,pheromone,0,48,250,48,0.0
0.8281332628239026,250,4,4,994.5798692519688,0.0008326463147165326,pheromone,1,48,250,48,0.0
0.8947078280044102,250,4,4,996.142135623731,0.0008981728570734457,pheromone,2,48,250,48,0.0
0.4381287726358149,250,4,4,996.3056992722728,0.00043975335377067034,pheromone,3,48,250,48,0.0
0.6909090909090909,250,3,4,902.7544007200515,0.0007653345033355812,pheromone,0,48,250,48,0.25
0.8281332628239026,250,3,4,896.9991334482245,0.0009232263799859102,pheromone,1,48,250,48,0.25
0.8947078280044102,250,3,4,874.142135623731,0.0010235267144124162,pheromone,2,48,250,48,0.25
0.3656941649899396,250,3,4,875.6488450227804,0.0004176265029852531,pheromone,3,48,250,48,0.25
0.4737662337662338,250,2,4,781.1269837220818,0.0006065162817813956,pheromone,0,48,250,48,0.5
0.5118984664198837,250,2,4,798.9696961967018,0.000640698225297718,pheromone,1,48,250,48,0.5
0.8599779492833517,250,2,4,751.3137084989847,0.001144632314777621,pheromone,2,48,250,48,0.5
0.3656941649899396,250,2,4,789.3818177180209,0.00046326651663589633,pheromone,3,48,250,48,0.5
0.21558441558441557,250,4,4,994.0722933011441,0.0002168699570817899,potential_field,0,48,250,3,0.0
0.476467477525119,250,4,4,994.2783540618037,0.00047920934372016114,potential_field,1,48,250,3,0.0
0.33792723263506064,250,4,4,995.9970414071705,0.00033928537795416367,potential_field,2,48,250,3,0.0
0.18661971830985916,250,4,4,994.9869401394046,0.00018755996765516583,potential_field,3,48,250,3,0.0
0.21558441558441557,250,3,4,889.2316728675778,0.00024243897531135272,potential_field,0,48,250,3,0.25
0.476467477525119,250,3,4,920.7392488184022,0.0005174836177957836,potential_field,1,48,250,3,0.25
0.33792723263506064,250,3,4,882.9970414071705,0.00038270483001452606,potential_field,2,48,250,3,0.25
0.18661971830985916,250,3,4,879.9869401394046,0.00021207100900871948,potential_field,3,48,250,3,0.25
0.21558441558441557,250,2,4,814.2783540618032,0.0002647551841566611,potential_field,0,48,250,3,0.5
0.476467477525119,250,2,4,801.910821693656,0.0005941651672923026,potential_field,1,48,250,3,0.5
0.33792723263506064,250,2,4,803.6295090390228,0.00042050127432372757,potential_field,2,48,250,3,0.5
0.18661971830985916,250,2,4,762.9869401394046,0.0002445909733078289,potential_field,3,48,250,3,0.5
0.8275324675324676,250,4,4,996.0285706997472,0.000830832058312439,potential_field,0,48,250,6,0.0
0.8164992067689053,250,4,4,994.7930726875653,0.000820772911659934,potential_field,1,48,250,6,0.0
0.7552370452039692,250,4,4,995.6265504461946,0.0007585545452413921,potential_field,2,48,250,6,0.0
0.42857142857142855,250,4,4,996.2367235014609,0.00043019035381985704,potential_field,3,48,250,6,0.0
0.8275324675324676,250,3,4,890.3178925810919,0.0009294797672024707,potential_field,0,48,250,6,0.25
0.6589106292966684,250,3,4,878.6509370638342,0.0007499117129477304,potential_field,1,48,250,6,0.25
0.7552370452039692,250,3,4,906.5310960166889,0.0008331066066266143,potential_field,2,48,250,6,0.25
0.42706237424547283,250,3,4,904.6093065034912,0.0004720959326586639,potential_field,3,48,250,6,0.25
